"activity" "subject" "value"
"1" "LAYING" 1 -0.562911611255539
"2" "SITTING" 1 -0.584725960255462
"3" "STANDING" 1 -0.604246709315753
"4" "WALKING" 1 -0.163082309727183
"5" "WALKING_DOWNSTAIRS" 1 -0.123381646209478
"6" "WALKING_UPSTAIRS" 1 -0.307103990105455
"7" "LAYING" 2 -0.594554938801989
"8" "SITTING" 2 -0.600393131230662
"9" "STANDING" 2 -0.607694266118594
"10" "WALKING" 2 -0.263447535461266
"11" "WALKING_DOWNSTAIRS" 2 -0.0960628386705871
"12" "WALKING_UPSTAIRS" 2 -0.245280103879352
"13" "LAYING" 3 -0.59842632621547
"14" "SITTING" 3 -0.587788224394425
"15" "STANDING" 3 -0.614465465564024
"16" "WALKING" 3 -0.273821880450755
"17" "WALKING_DOWNSTAIRS" 3 -0.210455379815377
"18" "WALKING_UPSTAIRS" 3 -0.332762922095754
"19" "LAYING" 4 -0.600275906171113
"20" "SITTING" 4 -0.599869209421733
"21" "STANDING" 4 -0.599570831279334
"22" "WALKING" 4 -0.333616309878114
"23" "WALKING_DOWNSTAIRS" 4 -0.237339899003328
"24" "WALKING_UPSTAIRS" 4 -0.319770178845403
"25" "LAYING" 5 -0.59602738987166
"26" "SITTING" 5 -0.595146662811886
"27" "STANDING" 5 -0.59099275703927
"28" "WALKING" 5 -0.255474472944623
"29" "WALKING_DOWNSTAIRS" 5 -0.137460044128552
"30" "WALKING_UPSTAIRS" 5 -0.230117115133272
"31" "LAYING" 6 -0.582493067922139
"32" "SITTING" 6 -0.591247923581489
"33" "STANDING" 6 -0.608446224524601
"34" "WALKING" 6 -0.189527910222856
"35" "WALKING_DOWNSTAIRS" 6 -0.00181489215397099
"36" "WALKING_UPSTAIRS" 6 -0.18605013871588
"37" "LAYING" 7 -0.617707648273444
"38" "SITTING" 7 -0.600501628002714
"39" "STANDING" 7 -0.618483174871523
"40" "WALKING" 7 -0.153995682216284
"41" "WALKING_DOWNSTAIRS" 7 -0.152405983197827
"42" "WALKING_UPSTAIRS" 7 -0.343348262765969
